name,country_name,latitude,longitude,population,average_cost_per_day,description
Paris,France,48.8566,2.3522,2161000,150.00,"City of Light with iconic landmarks and rich culture"
Tokyo,Japan,35.6762,139.6503,13929286,180.00,"Modern metropolis blending tradition with innovation"
New York,United States,40.7128,-74.0060,8336817,200.00,"The city that never sleeps with endless possibilities"
London,United Kingdom,51.5074,-0.1278,8982000,170.00,"Historic capital with royal heritage and modern attractions"
Dubai,United Arab Emirates,25.2048,55.2708,3331420,160.00,"Futuristic city with luxury shopping and architecture"
Sydney,Australia,-33.8688,151.2153,5312163,160.00,"Harbor city with iconic opera house and beaches"
Rome,Italy,41.9028,12.4964,2873494,120.00,"Eternal city with ancient history and amazing cuisine"
Barcelona,Spain,41.3851,2.1734,1620343,110.00,"Vibrant city with unique architecture and Mediterranean charm"
Bangkok,Thailand,13.7563,100.5018,10539415,80.00,"Cultural hub with temples, street food, and nightlife"
Singapore,Singapore,1.3521,103.8198,5685807,140.00,"Garden city with diverse culture and modern skyline"
Amsterdam,Netherlands,52.3676,4.9041,821752,130.00,"Canal city with rich history and liberal culture"
Istanbul,Turkey,41.0082,28.9784,15519267,90.00,"Bridge between Europe and Asia with Byzantine heritage"
Mumbai,India,19.0760,72.8777,12442373,50.00,"Bollywood capital and financial hub of India"
Cairo,Egypt,30.0444,31.2357,20484965,60.00,"Ancient city with pyramids and Nile river charm"
Rio de Janeiro,Brazil,-22.9068,-43.1729,6748000,100.00,"Beach city with Christ statue and carnival culture"